Nome;Classe;Sobreviveu;Sexo;Idade;N_Irmaos_Conjuges;N_Fihos_pais;Porto_Embarque
Allen, Miss. Elisabeth Walton;1;1;female;29;0;0;S
Allison, Master. Hudson Trevor;1;1;male;0,9167;1;2;S
Allison, Miss. Helen Loraine;1;0;female;2;1;2;S
Allison, Mr. Hudson Joshua Creighton;1;0;male;30;1;2;S
Allison, Mrs. Hudson J C (Bessie Waldo Daniels);1;0;female;25;1;2;S
Anderson, Mr. Harry;1;1;male;48;0;0;S
Andrews, Miss. Kornelia Theodosia;1;1;female;63;1;0;S
Andrews, Mr. Thomas Jr;1;0;male;39;0;0;S
Appleton, Mrs. Edward Dale (Charlotte Lamson);1;1;female;53;2;0;S
Artagaveytia, Mr. Ramon;1;0;male;71;0;0;C
Astor, Col. John Jacob;1;0;male;47;1;0;C
Astor, Mrs. John Jacob (Madeleine Talmadge Force);1;1;female;18;1;0;C
Aubart, Mme. Leontine Pauline;1;1;female;24;0;0;C
"Barber, Miss. Ellen ""Nellie""";1;1;female;26;0;0;S
Barkworth, Mr. Algernon Henry Wilson;1;1;male;80;0;0;S
Baumann, Mr. John D;1;0;male;;0;0;S
Baxter, Mr. Quigg Edmond;1;0;male;24;0;1;C
Baxter, Mrs. James (Helene DeLaudeniere Chaput);1;1;female;50;0;1;C
Bazzani, Miss. Albina;1;1;female;32;0;0;C
Beattie, Mr. Thomson;1;0;male;36;0;0;C
Beckwith, Mr. Richard Leonard;1;1;male;37;1;1;S
Beckwith, Mrs. Richard Leonard (Sallie Monypeny);1;1;female;47;1;1;S
Behr, Mr. Karl Howell;1;1;male;26;0;0;C
Bidois, Miss. Rosalie;1;1;female;42;0;0;C
Bird, Miss. Ellen;1;1;female;29;0;0;S
Birnbaum, Mr. Jakob;1;0;male;25;0;0;C
Bishop, Mr. Dickinson H;1;1;male;25;1;0;C
Bishop, Mrs. Dickinson H (Helen Walton);1;1;female;19;1;0;C
Bissette, Miss. Amelia;1;1;female;35;0;0;S
Bjornstrom-Steffansson, Mr. Mauritz Hakan;1;1;male;28;0;0;S
Blackwell, Mr. Stephen Weart;1;0;male;45;0;0;S
Blank, Mr. Henry;1;1;male;40;0;0;C
Bonnell, Miss. Caroline;1;1;female;30;0;0;S
Bonnell, Miss. Elizabeth;1;1;female;58;0;0;S
Borebank, Mr. John James;1;0;male;42;0;0;S
Bowen, Miss. Grace Scott;1;1;female;45;0;0;C
Bowerman, Miss. Elsie Edith;1;1;female;22;0;1;S
"Bradley, Mr. George (""George Arthur Brayton"")";1;1;male;;0;0;S
Brady, Mr. John Bertram;1;0;male;41;0;0;S
Brandeis, Mr. Emil;1;0;male;48;0;0;C
Brewe, Dr. Arthur Jackson;1;0;male;;0;0;C
Brown, Mrs. James Joseph (Margaret Tobin);1;1;female;44;0;0;C
Brown, Mrs. John Murray (Caroline Lane Lamson);1;1;female;59;2;0;S
Bucknell, Mrs. William Robert (Emma Eliza Ward);1;1;female;60;0;0;C
Burns, Miss. Elizabeth Margaret;1;1;female;41;0;0;C
Butt, Major. Archibald Willingham;1;0;male;45;0;0;S
Cairns, Mr. Alexander;1;0;male;;0;0;S
Calderhead, Mr. Edward Pennington;1;1;male;42;0;0;S
Candee, Mrs. Edward (Helen Churchill Hungerford);1;1;female;53;0;0;C
Cardeza, Mr. Thomas Drake Martinez;1;1;male;36;0;1;C
Cardeza, Mrs. James Warburton Martinez (Charlotte Wardle Drake);1;1;female;58;0;1;C
Carlsson, Mr. Frans Olof;1;0;male;33;0;0;S
Carrau, Mr. Francisco M;1;0;male;28;0;0;S
Carrau, Mr. Jose Pedro;1;0;male;17;0;0;S
Carter, Master. William Thornton II;1;1;male;11;1;2;S
Carter, Miss. Lucile Polk;1;1;female;14;1;2;S
Carter, Mr. William Ernest;1;1;male;36;1;2;S
Carter, Mrs. William Ernest (Lucile Polk);1;1;female;36;1;2;S
Case, Mr. Howard Brown;1;0;male;49;0;0;S
